NLR clade,gene_short_na
NRC-clade,Solyc03g005660
NRC-clade,Solyc04g007030
NRC-clade,Solyc04g007050
NRC-clade,Solyc04g007060
NRC-clade,Solyc04g007070
NRC-clade,Solyc04g008150
NRC-clade,Solyc04g015210
NRC-clade,Solyc05g009630
NRC-clade,Solyc10g008220
NRC-clade,Solyc10g047320
RPW-8-1,ADR1
RPW-8-1,ADR1L1
RPW-8-1,ADR1L2
RPW-8-1,AtNRG1A
RPW-8-1,AtNRG1B
RPW-8-1,Cc10g03810
RPW-8-1,Solyc02g090380
RPW-8-1,Solyc04g079420
RPW-8-2,Cc00g02030
RPW-8-2,Cc00g02040
RPW-8-2,Cc00g02080
RPW-8-2,Cc00g02110
RPW-8-2,Cc00g02120
RPW-8-2,Cc00g02130
RPW-8-2,Cc00g02140
RPW-8-2,Cc00g02150
RPW-8-2,Cc00g09480
RPW-8-2,Cc00g09490
RPW-8-2,Cc00g21080
RPW-8-2,Cc00g29590
RPW-8-2,Cc01g03010
RPW-8-2,Cc01g03020
RPW-8-2,Cc01g06910
RPW-8-2,Cc05g02150
RPW-8-2,Cc05g02440
RPW-8-2,Cc05g04690
RPW-8-2,Cc05g05250
RPW-8-2,Cc05g06490
RPW-8-2,Cc06g11650
RPW-8-2,Cc07g18670
RPW-8-2,Cc07g18690
RPW-8-2,Cc07g20620
RPW-8-2,RPS2
RPW-8-2,RPS5
RPW-8-2,Solyc02g037540
RPW-8-2,Solyc06g048910
RPW-8-2,Solyc08g007250
RPW-8-2,Solyc08g013970
RPW-8-2,Solyc10g076440
RPW-8-2,Solyc11g007790
RPW-8-3,Cc00g08240
RPW-8-3,Cc00g10380
RPW-8-3,Cc00g13150
RPW-8-3,Cc00g13170
RPW-8-3,Cc00g13280
RPW-8-3,Cc00g15430
RPW-8-3,Cc00g20520
RPW-8-3,Cc00g22090
RPW-8-3,Cc00g24460
RPW-8-3,Cc00g25690
RPW-8-3,Cc00g26540
RPW-8-3,Cc00g32210
RPW-8-3,Cc03g10780
RPW-8-3,Cc03g10810
RPW-8-3,Cc03g14760
RPW-8-3,Cc06g19650
RPW-8-3,Cc06g19660
RPW-8-3,Cc06g19680
RPW-8-3,Cc06g19710
RPW-8-3,Cc06g19740
RPW-8-3,Cc06g19750
RPW-8-3,Solyc01g067165
RPW-8-3,Solyc02g036270
RPW-8-3,Solyc03g046207
RPW-8-3,Solyc03g094100
RPW-8-3,Solyc04g005540
RPW-8-3,Solyc04g005550
RPW-8-3,Solyc10g054940
RPW-8-3,Solyc10g054970
RPW-8-3,Solyc10g055050
RPW-8-3,Solyc10g055140
RPW-8-3,Solyc10g055170
RPW-8-3,Solyc12g044180
RPW-8-3,Solyc12g044190
RPW-8-3,Solyc12g044200
TNL,Bs4
TNL,Cc00g00850
TNL,Cc00g15130
TNL,Cc00g19200
TNL,Cc00g23220
TNL,Cc00g30890
TNL,Cc00g35470
TNL,Cc01g03240
TNL,Cc03g08530
TNL,Cc03g08540
TNL,Cc03g08560
TNL,Cc08g06820
TNL,Cc08g06840
TNL,Cc08g06850
TNL,Cc11g00700
TNL,Cc11g13870
TNL,Cc11g13880
TNL,CHS3
TNL,CSA1
TNL,L6
TNL,N
TNL,Roq1
TNL,RPP1
TNL,RPP4
TNL,RPS4
TNL,RRS1
TNL,SIKIC1
TNL,SIKIC2
TNL,SIKIC3
TNL,SNC1
TNL,SOC3
TNL,Solyc00g294230
TNL,Solyc01g008800
TNL,Solyc01g014840
TNL,Solyc01g066020
TNL,Solyc01g102840
TNL,Solyc01g102850
TNL,Solyc01g102880
TNL,Solyc01g102920
TNL,Solyc01g113620
